timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s
20231103124158,10.1.0.2,47478,10.1.0.3,5001,1,0.0-1.0,5454692412,43637539296
20231103124158,10.1.0.2,47488,10.1.0.3,5001,2,0.0-1.0,5241045052,41928360416
20231103124158,10.1.0.2,47504,10.1.0.3,5001,3,0.0-1.0,5326241852,42609934816
20231103124158,10.1.0.2,47508,10.1.0.3,5001,4,0.0-1.0,5252579388,42020635104
20231103124159,10.1.0.2,47478,10.1.0.3,5001,1,1.0-2.0,5554634376,44437075008
20231103124159,10.1.0.2,47488,10.1.0.3,5001,2,1.0-2.0,5260574720,42084597760
20231103124159,10.1.0.2,47504,10.1.0.3,5001,3,1.0-2.0,5585829512,44686636096
20231103124159,10.1.0.2,47508,10.1.0.3,5001,4,1.0-2.0,5233770120,41870160960
20231103124200,10.1.0.2,47478,10.1.0.3,5001,1,2.0-3.0,5533794680,44270357440
20231103124200,10.1.0.2,47488,10.1.0.3,5001,2,2.0-3.0,5310513152,42484105216
20231103124200,10.1.0.2,47504,10.1.0.3,5001,3,2.0-3.0,5467210104,43737680832
20231103124200,10.1.0.2,47508,10.1.0.3,5001,4,2.0-3.0,5247271288,41978170304
20231103124201,10.1.0.2,47478,10.1.0.3,5001,1,3.0-4.0,5414191104,43313528832
20231103124201,10.1.0.2,47488,10.1.0.3,5001,2,3.0-4.0,5254938624,42039508992
20231103124201,10.1.0.2,47504,10.1.0.3,5001,3,3.0-4.0,5417598976,43340791808
20231103124201,10.1.0.2,47508,10.1.0.3,5001,4,3.0-4.0,5297733256,42381866048
20231103124202,10.1.0.2,47478,10.1.0.3,5001,1,4.0-5.0,5251333768,42010670144
20231103124202,10.1.0.2,47488,10.1.0.3,5001,2,4.0-5.0,5147983872,41183870976
20231103124202,10.1.0.2,47504,10.1.0.3,5001,3,4.0-5.0,5251989128,42015913024
20231103124202,10.1.0.2,47508,10.1.0.3,5001,4,4.0-5.0,5114233208,40913865664
20231103124203,10.1.0.2,47478,10.1.0.3,5001,1,5.0-6.0,5397086584,43176692672
20231103124203,10.1.0.2,47488,10.1.0.3,5001,2,5.0-6.0,5373952000,42991616000
20231103124203,10.1.0.2,47504,10.1.0.3,5001,3,5.0-6.0,5426446712,43411573696
20231103124203,10.1.0.2,47508,10.1.0.3,5001,4,5.0-6.0,5320539784,42564318272
