timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s , Jitter ms, lost datagrams,total datagrams, lost datagrams in %,0
20231103122313,10.1.0.2,46366,10.1.0.3,5001,1,0.0-1.0,1311240,10489920,0.066,0,892,0.000,0
20231103122314,10.1.0.2,46366,10.1.0.3,5001,1,1.0-2.0,1311240,10489920,0.029,0,892,0.000,0
20231103122315,10.1.0.2,46366,10.1.0.3,5001,1,2.0-3.0,1311240,10489920,0.049,0,892,0.000,0
20231103122316,10.1.0.2,46366,10.1.0.3,5001,1,3.0-4.0,1311240,10489920,0.017,0,892,0.000,0
20231103122317,10.1.0.2,46366,10.1.0.3,5001,1,4.0-5.0,1309770,10478160,0.001,0,891,0.000,0
20231103122318,10.1.0.2,46366,10.1.0.3,5001,1,5.0-6.0,1311240,10489920,0.002,0,892,0.000,0
20231103122319,10.1.0.2,46366,10.1.0.3,5001,1,6.0-7.0,1311240,10489920,0.013,0,892,0.000,0
20231103122320,10.1.0.2,46366,10.1.0.3,5001,1,7.0-8.0,1309770,10478160,0.023,0,891,0.000,0
20231103122321,10.1.0.2,46366,10.1.0.3,5001,1,8.0-9.0,1311240,10489920,0.013,0,892,0.000,0
20231103122322,10.1.0.2,46366,10.1.0.3,5001,1,9.0-10.0,1311240,10489920,0.031,0,892,0.000,0
20231103122323,10.1.0.2,46366,10.1.0.3,5001,1,10.0-11.0,1305360,10442880,0.050,0,888,0.000,0
20231103122324,10.1.0.2,46366,10.1.0.3,5001,1,11.0-12.0,1314180,10513440,0.014,0,894,0.000,0
20231103122325,10.1.0.2,46366,10.1.0.3,5001,1,12.0-13.0,1312710,10501680,0.016,0,893,0.000,0
20231103122326,10.1.0.2,46366,10.1.0.3,5001,1,13.0-14.0,1309770,10478160,0.020,0,891,0.000,0
20231103122327,10.1.0.2,46366,10.1.0.3,5001,1,14.0-15.0,1311240,10489920,0.002,0,892,0.000,0
20231103122328,10.1.0.2,46366,10.1.0.3,5001,1,15.0-16.0,1311240,10489920,0.006,0,892,0.000,0
20231103122329,10.1.0.2,46366,10.1.0.3,5001,1,16.0-17.0,1309770,10478160,0.010,0,891,0.000,0
20231103122330,10.1.0.2,46366,10.1.0.3,5001,1,17.0-18.0,1311240,10489920,0.049,0,892,0.000,0
20231103122331,10.1.0.2,46366,10.1.0.3,5001,1,18.0-19.0,1309770,10478160,0.015,0,891,0.000,0
20231103122332,10.1.0.2,46366,10.1.0.3,5001,1,19.0-20.0,1311240,10489920,0.065,0,892,0.000,0
20231103122333,10.1.0.2,46366,10.1.0.3,5001,1,20.0-21.0,1311240,10489920,0.015,0,892,0.000,0
20231103122334,10.1.0.2,46366,10.1.0.3,5001,1,21.0-22.0,1311240,10489920,0.105,0,892,0.000,0
20231103122335,10.1.0.2,46366,10.1.0.3,5001,1,22.0-23.0,1309770,10478160,0.027,0,891,0.000,0
20231103122336,10.1.0.2,46366,10.1.0.3,5001,1,23.0-24.0,1311240,10489920,0.016,0,892,0.000,0
20231103122337,10.1.0.2,46366,10.1.0.3,5001,1,24.0-25.0,1309770,10478160,0.001,0,891,0.000,0
20231103122338,10.1.0.2,46366,10.1.0.3,5001,1,25.0-26.0,1311240,10489920,0.002,0,892,0.000,0
20231103122339,10.1.0.2,46366,10.1.0.3,5001,1,26.0-27.0,1311240,10489920,0.009,0,892,0.000,0
20231103122340,10.1.0.2,46366,10.1.0.3,5001,1,27.0-28.0,1309770,10478160,0.052,0,891,0.000,0
20231103122341,10.1.0.2,46366,10.1.0.3,5001,1,28.0-29.0,1311240,10489920,0.016,0,892,0.000,0
20231103122342,10.1.0.2,46366,10.1.0.3,5001,1,29.0-30.0,1311240,10489920,0.015,0,892,0.000,0
20231103122342,10.1.0.2,46366,10.1.0.3,5001,1,0.0-30.0,39326910,10485790,0.016,0,26753,0.000,0
