timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s
20231119141909,10.2.0.5,58476,10.1.0.3,5001,1,0.0-1.0,133276,1066208
20231119141910,10.2.0.5,58476,10.1.0.3,5001,1,1.0-2.0,21720,173760
20231119141911,10.2.0.5,58476,10.1.0.3,5001,1,2.0-3.0,0,0
20231119141912,10.2.0.5,58476,10.1.0.3,5001,1,3.0-4.0,0,0
20231119141913,10.2.0.5,58476,10.1.0.3,5001,1,4.0-5.0,0,0
20231119141914,10.2.0.5,58476,10.1.0.3,5001,1,5.0-6.0,81088,648704
20231119141915,10.2.0.5,58476,10.1.0.3,5001,1,6.0-7.0,15928,127424
20231119141916,10.2.0.5,58476,10.1.0.3,5001,1,7.0-8.0,8688,69504
20231119141917,10.2.0.5,58476,10.1.0.3,5001,1,8.0-9.0,5792,46336
20231119141918,10.2.0.5,58476,10.1.0.3,5001,1,9.0-10.0,15928,127424
20231119141919,10.2.0.5,58476,10.1.0.3,5001,1,10.0-11.0,2896,23168
20231119141920,10.2.0.5,58476,10.1.0.3,5001,1,11.0-12.0,82536,660288
20231119141921,10.2.0.5,58476,10.1.0.3,5001,1,12.0-13.0,76744,613952
20231119141922,10.2.0.5,58476,10.1.0.3,5001,1,13.0-14.0,28960,231680
20231119141923,10.2.0.5,58476,10.1.0.3,5001,1,14.0-15.0,13032,104256
20231119141924,10.2.0.5,58476,10.1.0.3,5001,1,15.0-16.0,0,0
20231119141925,10.2.0.5,58476,10.1.0.3,5001,1,16.0-17.0,0,0
20231119141926,10.2.0.5,58476,10.1.0.3,5001,1,17.0-18.0,23168,185344
20231119141927,10.2.0.5,58476,10.1.0.3,5001,1,18.0-19.0,49232,393856
20231119141928,10.2.0.5,58476,10.1.0.3,5001,1,19.0-20.0,15928,127424
20231119141929,10.2.0.5,58476,10.1.0.3,5001,1,20.0-21.0,15928,127424
20231119141930,10.2.0.5,58476,10.1.0.3,5001,1,21.0-22.0,253400,2027200
20231119141931,10.2.0.5,58476,10.1.0.3,5001,1,22.0-23.0,667528,5340224
20231119141932,10.2.0.5,58476,10.1.0.3,5001,1,23.0-24.0,1623208,12985664
