timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s, Jitter ms, lost datagrams,total datagrams, lost datagrams in %,0
20231119150603,10.2.0.5,42846,10.1.0.3,30001,1,0.0-1.0,57432900,459463200,0.124,37432,76502,48.929,7
20231119150604,10.2.0.5,42846,10.1.0.3,30001,1,1.0-2.0,58745610,469964880,0.070,36433,76396,47.690,3
20231119150605,10.2.0.5,42846,10.1.0.3,30001,1,2.0-3.0,58698570,469588560,0.030,37885,77816,48.685,1
20231119150606,10.2.0.5,42846,10.1.0.3,30001,1,3.0-4.0,58704450,469635600,0.028,37838,77773,48.652,2
20231119150607,10.2.0.5,42846,10.1.0.3,30001,1,4.0-5.0,58798530,470388240,0.056,37360,77359,48.294,4
20231119150608,10.2.0.5,42846,10.1.0.3,30001,1,5.0-6.0,58744140,469953120,0.019,37617,77579,48.489,0
20231119150609,10.2.0.5,42846,10.1.0.3,30001,1,6.0-7.0,58770600,470164800,0.046,37519,77499,48.412,1
20231119150610,10.2.0.5,42846,10.1.0.3,30001,1,7.0-8.0,58725030,469800240,0.018,37553,77502,48.454,3
20231119150611,10.2.0.5,42846,10.1.0.3,30001,1,8.0-9.0,58519230,468153840,0.018,37538,77347,48.532,3
20231119150612,10.2.0.5,42846,10.1.0.3,30001,1,9.0-10.0,58720620,469764960,0.033,37565,77511,48.464,1
20231119150613,10.2.0.5,42846,10.1.0.3,30001,1,10.0-11.0,58702980,469623840,0.019,37292,77226,48.289,0
20231119150614,10.2.0.5,42846,10.1.0.3,30001,1,11.0-12.0,58710330,469682640,0.019,37781,77720,48.612,2
20231119150615,10.2.0.5,42846,10.1.0.3,30001,1,12.0-13.0,58667700,469341600,0.021,37300,77210,48.310,6
20231119150616,10.2.0.5,42846,10.1.0.3,30001,1,13.0-14.0,58726500,469812000,0.025,37633,77583,48.507,0
20231119150617,10.2.0.5,42846,10.1.0.3,30001,1,14.0-15.0,58705920,469647360,0.016,37158,77094,48.198,1
20231119150618,10.2.0.5,42846,10.1.0.3,30001,1,15.0-16.0,58707390,469659120,0.041,36850,76787,47.990,0
20231119150619,10.2.0.5,42846,10.1.0.3,30001,1,16.0-17.0,58744140,469953120,0.045,37364,77326,48.320,0
20231119150620,10.2.0.5,42846,10.1.0.3,30001,1,17.0-18.0,58769130,470153040,0.070,37449,77428,48.366,1
20231119150621,10.2.0.5,42846,10.1.0.3,30001,1,18.0-19.0,58777950,470223600,0.042,37283,77268,48.252,0
20231119150622,10.2.0.5,42846,10.1.0.3,30001,1,19.0-20.0,58776480,470211840,0.054,37233,77217,48.219,2
20231119150622,10.2.0.5,42846,10.1.0.3,30001,1,0.0-20.0,1173182010,469248450,0.032,748141,1546224,48.385,37
