timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s
20231120113900,10.4.0.2,30001,10.2.0.2,50834,4,0.0-1.0,2613640,20909120
20231120113901,10.4.0.2,30001,10.2.0.2,50834,4,1.0-2.0,2988672,23909376
20231120113902,10.4.0.2,30001,10.2.0.2,50834,4,2.0-3.0,2988672,23909376
20231120113903,10.4.0.2,30001,10.2.0.2,50834,4,3.0-4.0,2988672,23909376
20231120113904,10.4.0.2,30001,10.2.0.2,50834,4,4.0-5.0,2988672,23909376
20231120113905,10.4.0.2,30001,10.2.0.2,50834,4,5.0-6.0,2990120,23920960
20231120113906,10.4.0.2,30001,10.2.0.2,50834,4,6.0-7.0,2988672,23909376
20231120113907,10.4.0.2,30001,10.2.0.2,50834,4,7.0-8.0,2988672,23909376
20231120113908,10.4.0.2,30001,10.2.0.2,50834,4,8.0-9.0,2988672,23909376
20231120113909,10.4.0.2,30001,10.2.0.2,50834,4,9.0-10.0,2988672,23909376
20231120113910,10.4.0.2,30001,10.2.0.2,50834,4,10.0-11.0,2988672,23909376
20231120113911,10.4.0.2,30001,10.2.0.2,50834,4,11.0-12.0,2988672,23909376
20231120113912,10.4.0.2,30001,10.2.0.2,50834,4,12.0-13.0,2988672,23909376
20231120113913,10.4.0.2,30001,10.2.0.2,50834,4,13.0-14.0,2990920,23927360
20231120113914,10.4.0.2,30001,10.2.0.2,50834,4,14.0-15.0,2987224,23897792
20231120113915,10.4.0.2,30001,10.2.0.2,50834,4,15.0-16.0,2988120,23904960
20231120113916,10.4.0.2,30001,10.2.0.2,50834,4,16.0-17.0,2988672,23909376
20231120113917,10.4.0.2,30001,10.2.0.2,50834,4,17.0-18.0,2988672,23909376
20231120113918,10.4.0.2,30001,10.2.0.2,50834,4,18.0-19.0,2988672,23909376
20231120113919,10.4.0.2,30001,10.2.0.2,50834,4,19.0-20.0,2988672,23909376
20231120113920,10.4.0.2,30001,10.2.0.2,50834,4,20.0-21.0,1220664,9765312
20231120113921,10.4.0.2,30001,10.2.0.2,50834,4,21.0-22.0,598024,4784192
20231120113922,10.4.0.2,30001,10.2.0.2,50834,4,22.0-23.0,598024,4784192
20231120113923,10.4.0.2,30001,10.2.0.2,50834,4,23.0-24.0,598024,4784192
20231120113924,10.4.0.2,30001,10.2.0.2,50834,4,24.0-25.0,596576,4772608
20231120113925,10.4.0.2,30001,10.2.0.2,50834,4,25.0-26.0,598024,4784192
20231120113926,10.4.0.2,30001,10.2.0.2,50834,4,26.0-27.0,598024,4784192
20231120113927,10.4.0.2,30001,10.2.0.2,50834,4,27.0-28.0,598024,4784192
20231120113928,10.4.0.2,30001,10.2.0.2,50834,4,28.0-29.0,598024,4784192
20231120113929,10.4.0.2,30001,10.2.0.2,50834,4,29.0-30.0,596576,4772608
20231120113930,10.4.0.2,30001,10.2.0.2,50834,4,30.0-31.0,599472,4795776
20231120113931,10.4.0.2,30001,10.2.0.2,50834,4,31.0-32.0,596576,4772608
20231120113932,10.4.0.2,30001,10.2.0.2,50834,4,32.0-33.0,598024,4784192
20231120113933,10.4.0.2,30001,10.2.0.2,50834,4,33.0-34.0,598024,4784192
20231120113934,10.4.0.2,30001,10.2.0.2,50834,4,34.0-35.0,598024,4784192
20231120113935,10.4.0.2,30001,10.2.0.2,50834,4,35.0-36.0,596688,4773504
20231120113936,10.4.0.2,30001,10.2.0.2,50834,4,36.0-37.0,598024,4784192
20231120113937,10.4.0.2,30001,10.2.0.2,50834,4,37.0-38.0,598024,4784192
20231120113938,10.4.0.2,30001,10.2.0.2,50834,4,38.0-39.0,598024,4784192
20231120113939,10.4.0.2,30001,10.2.0.2,50834,4,39.0-40.0,598024,4784192
