timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s, Jitter ms, lost datagrams,total datagrams, lost datagrams in %,0
20231120120623,10.3.0.2,30004,10.1.0.2,33135,3,0.0-1.0,1220100,9760800,0.722,730,1560,46.795,0
20231120120624,10.3.0.2,30004,10.1.0.2,33135,3,1.0-2.0,1217160,9737280,0.604,830,1658,50.060,0
20231120120625,10.3.0.2,30004,10.1.0.2,33135,3,2.0-3.0,1218630,9749040,0.663,892,1721,51.830,0
20231120120626,10.3.0.2,30004,10.1.0.2,33135,3,3.0-4.0,1217160,9737280,0.730,880,1708,51.522,0
20231120120627,10.3.0.2,30004,10.1.0.2,33135,3,4.0-5.0,1217160,9737280,0.571,872,1700,51.294,0
20231120120628,10.3.0.2,30004,10.1.0.2,33135,3,5.0-6.0,1218630,9749040,0.701,882,1711,51.549,0
20231120120629,10.3.0.2,30004,10.1.0.2,33135,3,6.0-7.0,1217160,9737280,0.735,883,1711,51.607,0
20231120120630,10.3.0.2,30004,10.1.0.2,33135,3,7.0-8.0,1217160,9737280,0.702,877,1705,51.437,0
20231120120631,10.3.0.2,30004,10.1.0.2,33135,3,8.0-9.0,1218630,9749040,0.456,840,1669,50.330,0
20231120120632,10.3.0.2,30004,10.1.0.2,33135,3,9.0-10.0,1217160,9737280,0.596,894,1722,51.916,0
20231120120633,10.3.0.2,30004,10.1.0.2,33135,3,10.0-11.0,1217160,9737280,0.707,884,1712,51.636,0
20231120120634,10.3.0.2,30004,10.1.0.2,33135,3,11.0-12.0,1218630,9749040,0.683,833,1662,50.120,0
20231120120635,10.3.0.2,30004,10.1.0.2,33135,3,12.0-13.0,1217160,9737280,0.570,895,1723,51.944,0
20231120120636,10.3.0.2,30004,10.1.0.2,33135,3,13.0-14.0,1218630,9749040,0.561,890,1719,51.774,0
20231120120637,10.3.0.2,30004,10.1.0.2,33135,3,14.0-15.0,1217160,9737280,0.821,828,1656,50.000,0
20231120120638,10.3.0.2,30004,10.1.0.2,33135,3,15.0-16.0,1217160,9737280,0.592,899,1727,52.056,0
20231120120639,10.3.0.2,30004,10.1.0.2,33135,3,16.0-17.0,1218630,9749040,0.652,888,1717,51.718,0
20231120120640,10.3.0.2,30004,10.1.0.2,33135,3,17.0-18.0,1217160,9737280,0.611,822,1650,49.818,0
20231120120641,10.3.0.2,30004,10.1.0.2,33135,3,18.0-19.0,1217160,9737280,0.794,902,1730,52.139,0
20231120120642,10.3.0.2,30004,10.1.0.2,33135,3,19.0-20.0,1218630,9749040,0.527,889,1718,51.746,0
20231120120642,10.3.0.2,30004,10.1.0.2,33135,3,0.0-20.1,24450510,9741819,0.514,17382,34015,51.101,0
20231120120642,10.3.0.2,0,10.1.0.2,0,-1,0.0-20.1,25670610,10227943,0.722,18112,35575,50.912,0
