timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s
20231120103449,10.3.0.2,5001,10.1.0.2,32854,4,0.0-1.0,29534856,236278848
20231120103450,10.3.0.2,5001,10.1.0.2,32854,4,1.0-2.0,21278360,170226880
20231120103451,10.3.0.2,5001,10.1.0.2,32854,4,2.0-3.0,20900432,167203456
20231120103452,10.3.0.2,5001,10.1.0.2,32854,4,3.0-4.0,20887400,167099200
20231120103453,10.3.0.2,5001,10.1.0.2,32854,4,4.0-5.0,20925048,167400384
20231120103454,10.3.0.2,5001,10.1.0.2,32854,4,5.0-6.0,21239264,169914112
20231120103455,10.3.0.2,5001,10.1.0.2,32854,4,6.0-7.0,20875816,167006528
20231120103456,10.3.0.2,5001,10.1.0.2,32854,4,7.0-8.0,20852648,166821184
20231120103457,10.3.0.2,5001,10.1.0.2,32854,4,8.0-9.0,21272568,170180544
20231120103458,10.3.0.2,5001,10.1.0.2,32854,4,9.0-10.0,20946768,167574144
20231120103459,10.3.0.2,5001,10.1.0.2,32854,4,10.0-11.0,20862784,166902272
20231120103500,10.3.0.2,5001,10.1.0.2,32854,4,11.0-12.0,20901880,167215040
20231120103501,10.3.0.2,5001,10.1.0.2,32854,4,12.0-13.0,21230576,169844608
20231120103502,10.3.0.2,5001,10.1.0.2,32854,4,13.0-14.0,20871472,166971776
20231120103503,10.3.0.2,5001,10.1.0.2,32854,4,14.0-15.0,20843960,166751680
20231120103504,10.3.0.2,5001,10.1.0.2,32854,4,15.0-16.0,21275464,170203712
20231120103505,10.3.0.2,5001,10.1.0.2,32854,4,16.0-17.0,20865680,166925440
20231120103506,10.3.0.2,5001,10.1.0.2,32854,4,17.0-18.0,20856992,166855936
20231120103507,10.3.0.2,5001,10.1.0.2,32854,4,18.0-19.0,21271120,170168960
20231120103508,10.3.0.2,5001,10.1.0.2,32854,4,19.0-20.0,20904776,167238208
20231120103509,10.3.0.2,5001,10.1.0.2,32854,4,20.0-21.0,20878712,167029696
20231120103510,10.3.0.2,5001,10.1.0.2,32854,4,21.0-22.0,21269672,170157376
20231120103511,10.3.0.2,5001,10.1.0.2,32854,4,22.0-23.0,20894640,167157120
20231120103512,10.3.0.2,5001,10.1.0.2,32854,4,23.0-24.0,20610832,164886656
20231120103513,10.3.0.2,5001,10.1.0.2,32854,4,24.0-25.0,21314560,170516480
20231120103514,10.3.0.2,5001,10.1.0.2,32854,4,25.0-26.0,21543344,172346752
20231120103515,10.3.0.2,5001,10.1.0.2,32854,4,26.0-27.0,21043784,168350272
20231120103516,10.3.0.2,5001,10.1.0.2,32854,4,27.0-28.0,21318904,170551232
20231120103517,10.3.0.2,5001,10.1.0.2,32854,4,28.0-29.0,21266776,170134208
20231120103518,10.3.0.2,5001,10.1.0.2,32854,4,29.0-30.0,21347864,170782912
20231120103519,10.3.0.2,5001,10.1.0.2,32854,4,30.0-31.0,21100256,168802048
20231120103520,10.3.0.2,5001,10.1.0.2,32854,4,31.0-32.0,21149488,169195904
20231120103521,10.3.0.2,5001,10.1.0.2,32854,4,32.0-33.0,20884504,167076032
20231120103522,10.3.0.2,5001,10.1.0.2,32854,4,33.0-34.0,21334832,170678656
20231120103523,10.3.0.2,5001,10.1.0.2,32854,4,34.0-35.0,21062608,168500864
20231120103524,10.3.0.2,5001,10.1.0.2,32854,4,35.0-36.0,20846856,166774848
20231120103525,10.3.0.2,5001,10.1.0.2,32854,4,36.0-37.0,21256640,170053120
20231120103526,10.3.0.2,5001,10.1.0.2,32854,4,37.0-38.0,21000344,168002752
20231120103527,10.3.0.2,5001,10.1.0.2,32854,4,38.0-39.0,20859888,166879104
