timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s, Jitter ms, lost datagrams,total datagrams, lost datagrams in %,0
20231117150140,10.1.0.2,55423,10.1.0.4,5001,1,0.0-1.0,77636580,621092640,0.006,12100,64914,18.640,2
20231117150141,10.1.0.2,55423,10.1.0.4,5001,1,1.0-2.0,61923750,495390000,0.007,25734,67859,37.923,9
20231117150142,10.1.0.2,55423,10.1.0.4,5001,1,2.0-3.0,71736000,573888000,0.008,17717,66517,26.635,8
20231117150143,10.1.0.2,55423,10.1.0.4,5001,1,3.0-4.0,73285380,586283040,0.022,16719,66573,25.114,8
20231117150144,10.1.0.2,55423,10.1.0.4,5001,1,4.0-5.0,73322130,586577040,0.014,17049,66928,25.474,4
20231117150145,10.1.0.2,55423,10.1.0.4,5001,1,5.0-6.0,73195710,585565680,0.006,17056,66849,25.514,2
20231117150146,10.1.0.2,55423,10.1.0.4,5001,1,6.0-7.0,72844380,582755040,0.031,17431,66985,26.022,6
20231117150147,10.1.0.2,55423,10.1.0.4,5001,1,7.0-8.0,73022250,584178000,0.007,17740,67415,26.315,19
20231117150148,10.1.0.2,55423,10.1.0.4,5001,1,8.0-9.0,79077180,632617440,0.011,12778,66572,19.194,1
20231117150149,10.1.0.2,55423,10.1.0.4,5001,1,9.0-10.0,77854140,622833120,0.016,14382,67344,21.356,2
20231117150150,10.1.0.2,55423,10.1.0.4,5001,1,10.0-11.0,75236070,601888560,0.012,15041,66222,22.713,6
20231117150151,10.1.0.2,55423,10.1.0.4,5001,1,11.0-12.0,74852400,598819200,0.010,16384,67304,24.343,4
20231117150152,10.1.0.2,55423,10.1.0.4,5001,1,12.0-13.0,73639650,589117200,0.007,16945,67040,25.276,1
20231117150153,10.1.0.2,55423,10.1.0.4,5001,1,13.0-14.0,73404450,587235600,0.006,16943,66878,25.334,7
20231117150154,10.1.0.2,55423,10.1.0.4,5001,1,14.0-15.0,77758590,622068720,0.011,13475,66372,20.302,2
20231117150155,10.1.0.2,55423,10.1.0.4,5001,1,15.0-16.0,79647540,637180320,0.022,13162,67344,19.544,8
20231117150156,10.1.0.2,55423,10.1.0.4,5001,1,16.0-17.0,78897840,631182720,0.011,13193,66865,19.731,7
20231117150157,10.1.0.2,55423,10.1.0.4,5001,1,17.0-18.0,85123290,680986320,0.022,8620,66527,12.957,0
