timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s, Jitter ms, lost datagrams,total datagrams, lost datagrams in %,0
20231117150250,10.1.0.2,52235,10.1.0.3,5001,1,0.0-1.0,53378640,427029120,0.019,14083,50395,27.945,449
20231117150251,10.1.0.2,52235,10.1.0.3,5001,1,1.0-2.0,51389730,411117840,0.021,16050,51009,31.465,489
20231117150252,10.1.0.2,52235,10.1.0.3,5001,1,2.0-3.0,51461760,411694080,0.027,16028,51036,31.405,428
20231117150253,10.1.0.2,52235,10.1.0.3,5001,1,3.0-4.0,50717940,405743520,0.018,16513,51015,32.369,344
20231117150254,10.1.0.2,52235,10.1.0.3,5001,1,4.0-5.0,49931490,399451920,0.023,17060,51027,33.433,401
20231117150255,10.1.0.2,52235,10.1.0.3,5001,1,5.0-6.0,51629340,413034720,0.012,15892,51014,31.152,328
20231117150256,10.1.0.2,52235,10.1.0.3,5001,1,6.0-7.0,51029580,408236640,0.017,16306,51020,31.960,432
20231117150257,10.1.0.2,52235,10.1.0.3,5001,1,7.0-8.0,51495570,411964560,0.019,15987,51018,31.336,437
20231117150258,10.1.0.2,52235,10.1.0.3,5001,1,8.0-9.0,51538200,412305600,0.022,15963,51023,31.286,494
20231117150259,10.1.0.2,52235,10.1.0.3,5001,1,9.0-10.0,51279480,410235840,0.018,16136,51020,31.627,497
20231117150300,10.1.0.2,52235,10.1.0.3,5001,1,10.0-11.0,51454410,411635280,0.023,16004,51007,31.376,501
20231117150301,10.1.0.2,52235,10.1.0.3,5001,1,11.0-12.0,51485280,411882240,0.018,16017,51041,31.381,388
20231117150302,10.1.0.2,52235,10.1.0.3,5001,1,12.0-13.0,51520560,412164480,0.016,15972,51020,31.305,331
20231117150303,10.1.0.2,52235,10.1.0.3,5001,1,13.0-14.0,51591120,412728960,0.035,15921,51017,31.207,386
20231117150304,10.1.0.2,52235,10.1.0.3,5001,1,14.0-15.0,50925210,407401680,0.026,16376,51019,32.098,362
20231117150305,10.1.0.2,52235,10.1.0.3,5001,1,15.0-16.0,51754290,414034320,0.017,15815,51022,30.996,357
20231117150306,10.1.0.2,52235,10.1.0.3,5001,1,16.0-17.0,51429420,411435360,0.019,16036,51022,31.430,370
