timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s
20231120103823,10.3.0.2,5001,10.1.0.2,38858,4,0.0-1.0,87315848,698526784
20231120103824,10.3.0.2,5001,10.1.0.2,38858,4,1.0-2.0,85459512,683676096
20231120103825,10.3.0.2,5001,10.1.0.2,38858,4,2.0-3.0,85446480,683571840
20231120103826,10.3.0.2,5001,10.1.0.2,38858,4,3.0-4.0,85443584,683548672
20231120103827,10.3.0.2,5001,10.1.0.2,38858,4,4.0-5.0,85465304,683722432
20231120103828,10.3.0.2,5001,10.1.0.2,38858,4,5.0-6.0,85442136,683537088
20231120103829,10.3.0.2,5001,10.1.0.2,38858,4,6.0-7.0,85447928,683583424
20231120103830,10.3.0.2,5001,10.1.0.2,38858,4,7.0-8.0,85456616,683652928
20231120103831,10.3.0.2,5001,10.1.0.2,38858,4,8.0-9.0,85443584,683548672
20231120103832,10.3.0.2,5001,10.1.0.2,38858,4,9.0-10.0,85456616,683652928
20231120103833,10.3.0.2,5001,10.1.0.2,38858,4,10.0-11.0,85439240,683513920
20231120103834,10.3.0.2,5001,10.1.0.2,38858,4,11.0-12.0,85456616,683652928
20231120103835,10.3.0.2,5001,10.1.0.2,38858,4,12.0-13.0,85440688,683525504
20231120103836,10.3.0.2,5001,10.1.0.2,38858,4,13.0-14.0,85463856,683710848
20231120103837,10.3.0.2,5001,10.1.0.2,38858,4,14.0-15.0,85439240,683513920
20231120103838,10.3.0.2,5001,10.1.0.2,38858,4,15.0-16.0,85452272,683618176
20231120103839,10.3.0.2,5001,10.1.0.2,38858,4,16.0-17.0,85459512,683676096
20231120103840,10.3.0.2,5001,10.1.0.2,38858,4,17.0-18.0,85442136,683537088
20231120103841,10.3.0.2,5001,10.1.0.2,38858,4,18.0-19.0,85458064,683664512
20231120103842,10.3.0.2,5001,10.1.0.2,38858,4,19.0-20.0,85440688,683525504
20231120103843,10.3.0.2,5001,10.1.0.2,38858,4,20.0-21.0,85447928,683583424
20231120103844,10.3.0.2,5001,10.1.0.2,38858,4,21.0-22.0,85460960,683687680
20231120103845,10.3.0.2,5001,10.1.0.2,38858,4,22.0-23.0,85436344,683490752
20231120103846,10.3.0.2,5001,10.1.0.2,38858,4,23.0-24.0,85463856,683710848
20231120103847,10.3.0.2,5001,10.1.0.2,38858,4,24.0-25.0,85443584,683548672
20231120103848,10.3.0.2,5001,10.1.0.2,38858,4,25.0-26.0,85460960,683687680
20231120103849,10.3.0.2,5001,10.1.0.2,38858,4,26.0-27.0,85440688,683525504
20231120103850,10.3.0.2,5001,10.1.0.2,38858,4,27.0-28.0,85443584,683548672
20231120103851,10.3.0.2,5001,10.1.0.2,38858,4,28.0-29.0,85449376,683595008
20231120103852,10.3.0.2,5001,10.1.0.2,38858,4,29.0-30.0,85452272,683618176
20231120103853,10.3.0.2,5001,10.1.0.2,38858,4,30.0-31.0,85453720,683629760
20231120103854,10.3.0.2,5001,10.1.0.2,38858,4,31.0-32.0,85452272,683618176
20231120103855,10.3.0.2,5001,10.1.0.2,38858,4,32.0-33.0,85437792,683502336
20231120103856,10.3.0.2,5001,10.1.0.2,38858,4,33.0-34.0,85460960,683687680
