timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s, Jitter ms, lost datagrams,total datagrams, lost datagrams in %,0
20231120103823,10.4.0.2,5001,10.2.0.2,60616,3,0.0-1.0,32760420,262083360,0.080,0,22286,0.000,0
20231120103824,10.4.0.2,5001,10.2.0.2,60616,3,1.0-2.0,32767770,262142160,0.074,0,22291,0.000,0
20231120103825,10.4.0.2,5001,10.2.0.2,60616,3,2.0-3.0,32769240,262153920,0.062,0,22292,0.000,0
20231120103826,10.4.0.2,5001,10.2.0.2,60616,3,3.0-4.0,32770710,262165680,0.072,0,22293,0.000,0
20231120103827,10.4.0.2,5001,10.2.0.2,60616,3,4.0-5.0,32766300,262130400,0.053,0,22290,0.000,0
20231120103828,10.4.0.2,5001,10.2.0.2,60616,3,5.0-6.0,32761890,262095120,0.058,0,22287,0.000,0
20231120103829,10.4.0.2,5001,10.2.0.2,60616,3,6.0-7.0,32761890,262095120,0.072,0,22287,0.000,0
20231120103830,10.4.0.2,5001,10.2.0.2,60616,3,7.0-8.0,32779530,262236240,0.059,0,22299,0.000,0
20231120103831,10.4.0.2,5001,10.2.0.2,60616,3,8.0-9.0,32761890,262095120,0.067,0,22287,0.000,0
20231120103832,10.4.0.2,5001,10.2.0.2,60616,3,9.0-10.0,32770710,262165680,0.073,0,22293,0.000,0
20231120103833,10.4.0.2,5001,10.2.0.2,60616,3,10.0-11.0,32766300,262130400,0.087,0,22290,0.000,0
20231120103834,10.4.0.2,5001,10.2.0.2,60616,3,11.0-12.0,32772180,262177440,0.088,0,22294,0.000,0
20231120103835,10.4.0.2,5001,10.2.0.2,60616,3,12.0-13.0,32763360,262106880,0.068,0,22288,0.000,0
20231120103836,10.4.0.2,5001,10.2.0.2,60616,3,13.0-14.0,32766300,262130400,0.078,0,22290,0.000,0
20231120103837,10.4.0.2,5001,10.2.0.2,60616,3,14.0-15.0,32772180,262177440,0.077,0,22294,0.000,0
20231120103838,10.4.0.2,5001,10.2.0.2,60616,3,15.0-16.0,32764830,262118640,0.087,0,22289,0.000,0
20231120103839,10.4.0.2,5001,10.2.0.2,60616,3,16.0-17.0,32770710,262165680,0.078,0,22293,0.000,0
20231120103840,10.4.0.2,5001,10.2.0.2,60616,3,17.0-18.0,32758950,262071600,0.080,0,22285,0.000,0
20231120103841,10.4.0.2,5001,10.2.0.2,60616,3,18.0-19.0,32767770,262142160,0.084,0,22291,0.000,0
20231120103842,10.4.0.2,5001,10.2.0.2,60616,3,19.0-20.0,32773650,262189200,0.067,0,22295,0.000,0
20231120103843,10.4.0.2,5001,10.2.0.2,60616,3,20.0-21.0,32758950,262071600,0.072,0,22285,0.000,0
20231120103844,10.4.0.2,5001,10.2.0.2,60616,3,21.0-22.0,32770710,262165680,0.078,0,22293,0.000,0
20231120103845,10.4.0.2,5001,10.2.0.2,60616,3,22.0-23.0,32761890,262095120,0.062,0,22287,0.000,0
20231120103846,10.4.0.2,5001,10.2.0.2,60616,3,23.0-24.0,32766300,262130400,0.064,0,22290,0.000,0
20231120103847,10.4.0.2,5001,10.2.0.2,60616,3,24.0-25.0,32766300,262130400,0.062,0,22290,0.000,0
20231120103848,10.4.0.2,5001,10.2.0.2,60616,3,25.0-26.0,32776590,262212720,0.071,0,22297,0.000,0
20231120103849,10.4.0.2,5001,10.2.0.2,60616,3,26.0-27.0,32763360,262106880,0.068,0,22288,0.000,0
20231120103850,10.4.0.2,5001,10.2.0.2,60616,3,27.0-28.0,32764830,262118640,0.065,0,22289,0.000,0
20231120103851,10.4.0.2,5001,10.2.0.2,60616,3,28.0-29.0,32773650,262189200,0.084,0,22295,0.000,0
20231120103852,10.4.0.2,5001,10.2.0.2,60616,3,29.0-30.0,32763360,262106880,0.077,0,22288,0.000,0
20231120103853,10.4.0.2,5001,10.2.0.2,60616,3,30.0-31.0,32767770,262142160,0.073,0,22291,0.000,0
20231120103854,10.4.0.2,5001,10.2.0.2,60616,3,31.0-32.0,32776590,262212720,0.082,0,22297,0.000,0
20231120103855,10.4.0.2,5001,10.2.0.2,60616,3,32.0-33.0,32767770,262142160,0.067,0,22291,0.000,0
20231120103856,10.4.0.2,5001,10.2.0.2,60616,3,33.0-34.0,32757480,262059840,0.050,0,22284,0.000,0
20231120103857,10.4.0.2,5001,10.2.0.2,60616,3,34.0-35.0,32778060,262224480,0.073,0,22298,0.000,0
20231120103858,10.4.0.2,5001,10.2.0.2,60616,3,35.0-36.0,32770710,262165680,0.079,0,22293,0.000,0
20231120103859,10.4.0.2,5001,10.2.0.2,60616,3,36.0-37.0,32766300,262130400,0.085,0,22290,0.000,0
20231120103900,10.4.0.2,5001,10.2.0.2,60616,3,37.0-38.0,32763360,262106880,0.057,0,22288,0.000,0
20231120103901,10.4.0.2,5001,10.2.0.2,60616,3,38.0-39.0,32766300,262130400,0.062,0,22290,0.000,0
20231120103902,10.4.0.2,5001,10.2.0.2,60616,3,39.0-40.0,32776590,262212720,0.056,0,22297,0.000,0
20231120103903,10.4.0.2,5001,10.2.0.2,60616,3,40.0-41.0,32764830,262118640,0.076,0,22289,0.000,0
20231120103904,10.4.0.2,5001,10.2.0.2,60616,3,41.0-42.0,32761890,262095120,0.084,0,22287,0.000,0
20231120103905,10.4.0.2,5001,10.2.0.2,60616,3,42.0-43.0,32775120,262200960,0.078,0,22296,0.000,0
20231120103906,10.4.0.2,5001,10.2.0.2,60616,3,43.0-44.0,32763360,262106880,0.060,0,22288,0.000,0
20231120103907,10.4.0.2,5001,10.2.0.2,60616,3,44.0-45.0,32767770,262142160,0.066,0,22291,0.000,0
