timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s
20231117150401,10.1.0.2,53842,10.1.0.4,5001,1,0.0-1.0,35258860,282070880
20231117150402,10.1.0.2,53842,10.1.0.4,5001,1,1.0-2.0,28344600,226756800
20231117150403,10.1.0.2,53842,10.1.0.4,5001,1,2.0-3.0,29061360,232490880
20231117150404,10.1.0.2,53842,10.1.0.4,5001,1,3.0-4.0,28149120,225192960
20231117150405,10.1.0.2,53842,10.1.0.4,5001,1,4.0-5.0,29059912,232479296
20231117150406,10.1.0.2,53842,10.1.0.4,5001,1,5.0-6.0,30667192,245337536
20231117150407,10.1.0.2,53842,10.1.0.4,5001,1,6.0-7.0,30817784,246542272
20231117150408,10.1.0.2,53842,10.1.0.4,5001,1,7.0-8.0,33107072,264856576
20231117150409,10.1.0.2,53842,10.1.0.4,5001,1,8.0-9.0,35441248,283529984
20231117150410,10.1.0.2,53842,10.1.0.4,5001,1,9.0-10.0,34798336,278386688
20231117150411,10.1.0.2,53842,10.1.0.4,5001,1,10.0-11.0,38729656,309837248
20231117150412,10.1.0.2,53842,10.1.0.4,5001,1,11.0-12.0,37831896,302655168
20231117150413,10.1.0.2,53842,10.1.0.4,5001,1,12.0-13.0,40623656,324989248
20231117150414,10.1.0.2,53842,10.1.0.4,5001,1,13.0-14.0,42579064,340632512
20231117150415,10.1.0.2,53842,10.1.0.4,5001,1,14.0-15.0,44253520,354028160
20231117150416,10.1.0.2,53842,10.1.0.4,5001,1,15.0-16.0,45113216,360905728
20231117150417,10.1.0.2,53842,10.1.0.4,5001,1,16.0-17.0,47271992,378175936
20231117150418,10.1.0.2,53842,10.1.0.4,5001,1,17.0-18.0,46475536,371804288
20231117150419,10.1.0.2,53842,10.1.0.4,5001,1,18.0-19.0,47101456,376811648
20231117150420,10.1.0.2,53842,10.1.0.4,5001,1,19.0-20.0,45845848,366766784
20231117150421,10.1.0.2,53842,10.1.0.4,5001,1,20.0-21.0,46478624,371828992
20231117150422,10.1.0.2,53842,10.1.0.4,5001,1,21.0-22.0,44518968,356151744
20231117150423,10.1.0.2,53842,10.1.0.4,5001,1,22.0-23.0,43390648,347125184
20231117150424,10.1.0.2,53842,10.1.0.4,5001,1,23.0-24.0,44441392,355531136
20231117150425,10.1.0.2,53842,10.1.0.4,5001,1,24.0-25.0,43931488,351451904
20231117150426,10.1.0.2,53842,10.1.0.4,5001,1,25.0-26.0,44387904,355103232
20231117150427,10.1.0.2,53842,10.1.0.4,5001,1,26.0-27.0,43327800,346622400
20231117150428,10.1.0.2,53842,10.1.0.4,5001,1,27.0-28.0,45909640,367277120
20231117150429,10.1.0.2,53842,10.1.0.4,5001,1,28.0-29.0,47332168,378657344
20231117150430,10.1.0.2,53842,10.1.0.4,5001,1,29.0-30.0,44260440,354083520
20231117150431,10.1.0.2,53842,10.1.0.4,5001,1,30.0-31.0,44299488,354395904
20231117150432,10.1.0.2,53842,10.1.0.4,5001,1,31.0-32.0,42406800,339254400
20231117150433,10.1.0.2,53842,10.1.0.4,5001,1,32.0-33.0,42767008,342136064
20231117150434,10.1.0.2,53842,10.1.0.4,5001,1,33.0-34.0,44207824,353662592
20231117150435,10.1.0.2,53842,10.1.0.4,5001,1,34.0-35.0,44234472,353875776
20231117150436,10.1.0.2,53842,10.1.0.4,5001,1,35.0-36.0,44033680,352269440
20231117150437,10.1.0.2,53842,10.1.0.4,5001,1,36.0-37.0,44391344,355130752
20231117150438,10.1.0.2,53842,10.1.0.4,5001,1,37.0-38.0,43644216,349153728
20231117150439,10.1.0.2,53842,10.1.0.4,5001,1,38.0-39.0,45692360,365538880
20231117150440,10.1.0.2,53842,10.1.0.4,5001,1,39.0-40.0,44190112,353520896
20231117150441,10.1.0.2,53842,10.1.0.4,5001,1,40.0-41.0,44181424,353451392
20231117150442,10.1.0.2,53842,10.1.0.4,5001,1,41.0-42.0,43506656,348053248
20231117150443,10.1.0.2,53842,10.1.0.4,5001,1,42.0-43.0,40914840,327318720
20231117150444,10.1.0.2,53842,10.1.0.4,5001,1,43.0-44.0,41609208,332873664
20231117150445,10.1.0.2,53842,10.1.0.4,5001,1,44.0-45.0,44769368,358154944
20231117150446,10.1.0.2,53842,10.1.0.4,5001,1,45.0-46.0,41425208,331401664
20231117150447,10.1.0.2,53842,10.1.0.4,5001,1,46.0-47.0,41257776,330062208
20231117150448,10.1.0.2,53842,10.1.0.4,5001,1,47.0-48.0,43399200,347193600
20231117150449,10.1.0.2,53842,10.1.0.4,5001,1,48.0-49.0,46013376,368107008
20231117150450,10.1.0.2,53842,10.1.0.4,5001,1,49.0-50.0,45015640,360125120
20231117150451,10.1.0.2,53842,10.1.0.4,5001,1,50.0-51.0,44947928,359583424
20231117150452,10.1.0.2,53842,10.1.0.4,5001,1,51.0-52.0,43635440,349083520
20231117150453,10.1.0.2,53842,10.1.0.4,5001,1,52.0-53.0,42168032,337344256
20231117150454,10.1.0.2,53842,10.1.0.4,5001,1,53.0-54.0,40497040,323976320
20231117150455,10.1.0.2,53842,10.1.0.4,5001,1,54.0-55.0,42498176,339985408
20231117150456,10.1.0.2,53842,10.1.0.4,5001,1,55.0-56.0,39954712,319637696
20231117150457,10.1.0.2,53842,10.1.0.4,5001,1,56.0-57.0,40810888,326487104
20231117150458,10.1.0.2,53842,10.1.0.4,5001,1,57.0-58.0,41574352,332594816
20231117150459,10.1.0.2,53842,10.1.0.4,5001,1,58.0-59.0,45776040,366208320
20231117150500,10.1.0.2,53842,10.1.0.4,5001,1,59.0-60.0,41963592,335708736
20231117150500,10.1.0.2,53842,10.1.0.4,5001,1,0.0-60.1,2498232380,332788523
