timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s, Jitter ms, lost datagrams,total datagrams, lost datagrams in %,0
20231120104046,10.3.0.2,5001,10.1.0.2,54607,3,0.0-1.0,61251960,490015680,0.045,9276,50944,18.208,0
20231120104047,10.3.0.2,5001,10.1.0.2,54607,3,1.0-2.0,59805480,478443840,0.048,10337,51021,20.260,0
20231120104048,10.3.0.2,5001,10.1.0.2,54607,3,2.0-3.0,59809890,478479120,0.033,10329,51016,20.247,0
20231120104049,10.3.0.2,5001,10.1.0.2,54607,3,3.0-4.0,59820180,478561440,0.042,10328,51022,20.242,0
20231120104050,10.3.0.2,5001,10.1.0.2,54607,3,4.0-5.0,59809890,478479120,0.040,10330,51017,20.248,0
20231120104051,10.3.0.2,5001,10.1.0.2,54607,3,5.0-6.0,59820180,478561440,0.035,10330,51024,20.245,0
20231120104052,10.3.0.2,5001,10.1.0.2,54607,3,6.0-7.0,59809890,478479120,0.031,10330,51017,20.248,0
20231120104053,10.3.0.2,5001,10.1.0.2,54607,3,7.0-8.0,59820180,478561440,0.050,10330,51024,20.245,0
20231120104054,10.3.0.2,5001,10.1.0.2,54607,3,8.0-9.0,59809890,478479120,0.048,10329,51016,20.247,0
20231120104055,10.3.0.2,5001,10.1.0.2,54607,3,9.0-10.0,59811360,478490880,0.047,10329,51017,20.246,0
20231120104056,10.3.0.2,5001,10.1.0.2,54607,3,10.0-11.0,59815770,478526160,0.046,10329,51020,20.245,0
20231120104057,10.3.0.2,5001,10.1.0.2,54607,3,11.0-12.0,59809890,478479120,0.044,10328,51015,20.245,0
20231120104058,10.3.0.2,5001,10.1.0.2,54607,3,12.0-13.0,59821650,478573200,0.048,10330,51025,20.245,0
20231120104059,10.3.0.2,5001,10.1.0.2,54607,3,13.0-14.0,59806950,478455600,0.040,10329,51014,20.247,0
20231120104100,10.3.0.2,5001,10.1.0.2,54607,3,14.0-15.0,59821650,478573200,0.047,10332,51027,20.248,0
20231120104101,10.3.0.2,5001,10.1.0.2,54607,3,15.0-16.0,59809890,478479120,0.049,10329,51016,20.247,0
20231120104102,10.3.0.2,5001,10.1.0.2,54607,3,16.0-17.0,59820180,478561440,0.042,10330,51024,20.245,0
20231120104103,10.3.0.2,5001,10.1.0.2,54607,3,17.0-18.0,59809890,478479120,0.045,10330,51017,20.248,0
20231120104104,10.3.0.2,5001,10.1.0.2,54607,3,18.0-19.0,59808420,478467360,0.050,10326,51012,20.242,0
20231120104105,10.3.0.2,5001,10.1.0.2,54607,3,19.0-20.0,59818710,478549680,0.044,10330,51023,20.246,0
20231120104106,10.3.0.2,5001,10.1.0.2,54607,3,20.0-21.0,59811360,478490880,0.041,10328,51016,20.245,0
20231120104107,10.3.0.2,5001,10.1.0.2,54607,3,21.0-22.0,59821650,478573200,0.035,10332,51027,20.248,0
20231120104108,10.3.0.2,5001,10.1.0.2,54607,3,22.0-23.0,59806950,478455600,0.042,10329,51014,20.247,0
20231120104109,10.3.0.2,5001,10.1.0.2,54607,3,23.0-24.0,59821650,478573200,0.049,10331,51026,20.247,0
20231120104110,10.3.0.2,5001,10.1.0.2,54607,3,24.0-25.0,59809890,478479120,0.049,10329,51016,20.247,0
20231120104111,10.3.0.2,5001,10.1.0.2,54607,3,25.0-26.0,59812830,478502640,0.026,10328,51017,20.244,0
20231120104112,10.3.0.2,5001,10.1.0.2,54607,3,26.0-27.0,59818710,478549680,0.032,10331,51024,20.247,0
20231120104113,10.3.0.2,5001,10.1.0.2,54607,3,27.0-28.0,59808420,478467360,0.043,10326,51012,20.242,0
20231120104114,10.3.0.2,5001,10.1.0.2,54607,3,28.0-29.0,59821650,478573200,0.038,10332,51027,20.248,0
20231120104115,10.3.0.2,5001,10.1.0.2,54607,3,29.0-30.0,59806950,478455600,0.040,10326,51011,20.243,0
20231120104116,10.3.0.2,5001,10.1.0.2,54607,3,30.0-31.0,59821650,478573200,0.046,10331,51026,20.247,0
20231120104117,10.3.0.2,5001,10.1.0.2,54607,3,31.0-32.0,59806950,478455600,0.050,10329,51014,20.247,0
20231120104118,10.3.0.2,5001,10.1.0.2,54607,3,32.0-33.0,59821650,478573200,0.050,10331,51026,20.247,0
20231120104119,10.3.0.2,5001,10.1.0.2,54607,3,33.0-34.0,59811360,478490880,0.046,10329,51017,20.246,0
20231120104120,10.3.0.2,5001,10.1.0.2,54607,3,34.0-35.0,59811360,478490880,0.039,10329,51017,20.246,0
20231120104121,10.3.0.2,5001,10.1.0.2,54607,3,35.0-36.0,59820180,478561440,0.044,10331,51025,20.247,0
20231120104122,10.3.0.2,5001,10.1.0.2,54607,3,36.0-37.0,59809890,478479120,0.031,10328,51015,20.245,0
20231120104123,10.3.0.2,5001,10.1.0.2,54607,3,37.0-38.0,59820180,478561440,0.047,10329,51023,20.244,0
20231120104124,10.3.0.2,5001,10.1.0.2,54607,3,38.0-39.0,59809890,478479120,0.048,10329,51016,20.247,0
20231120104125,10.3.0.2,5001,10.1.0.2,54607,3,39.0-40.0,59821650,478573200,0.043,10331,51026,20.247,0
20231120104126,10.3.0.2,5001,10.1.0.2,54607,3,40.0-41.0,59808420,478467360,0.039,10328,51014,20.245,0
20231120104127,10.3.0.2,5001,10.1.0.2,54607,3,41.0-42.0,59821650,478573200,0.042,10331,51026,20.247,0
20231120104128,10.3.0.2,5001,10.1.0.2,54607,3,42.0-43.0,59808420,478467360,0.050,10330,51016,20.249,0
20231120104129,10.3.0.2,5001,10.1.0.2,54607,3,43.0-44.0,59808420,478467360,0.049,10327,51013,20.244,0
20231120104130,10.3.0.2,5001,10.1.0.2,54607,3,44.0-45.0,59821650,478573200,0.044,10331,51026,20.247,0
20231120104131,10.3.0.2,5001,10.1.0.2,54607,3,45.0-46.0,59808420,478467360,0.040,10328,51014,20.245,0
20231120104132,10.3.0.2,5001,10.1.0.2,54607,3,46.0-47.0,59821650,478573200,0.038,10330,51025,20.245,0
20231120104133,10.3.0.2,5001,10.1.0.2,54607,3,47.0-48.0,59808420,478467360,0.036,10329,51015,20.247,0
20231120104134,10.3.0.2,5001,10.1.0.2,54607,3,48.0-49.0,59821650,478573200,0.036,10332,51027,20.248,0
20231120104135,10.3.0.2,5001,10.1.0.2,54607,3,49.0-50.0,59811360,478490880,0.038,10327,51015,20.243,0
20231120104136,10.3.0.2,5001,10.1.0.2,54607,3,50.0-51.0,59808420,478467360,0.045,10330,51016,20.249,0
20231120104137,10.3.0.2,5001,10.1.0.2,54607,3,51.0-52.0,59818710,478549680,0.036,10331,51024,20.247,0
20231120104138,10.3.0.2,5001,10.1.0.2,54607,3,52.0-53.0,59806950,478455600,0.050,10327,51012,20.244,0
20231120104139,10.3.0.2,5001,10.1.0.2,54607,3,53.0-54.0,59821650,478573200,0.048,10329,51024,20.243,0
20231120104140,10.3.0.2,5001,10.1.0.2,54607,3,54.0-55.0,59809890,478479120,0.046,10330,51017,20.248,0
20231120104141,10.3.0.2,5001,10.1.0.2,54607,3,55.0-56.0,59821650,478573200,0.047,10330,51025,20.245,0
20231120104142,10.3.0.2,5001,10.1.0.2,54607,3,56.0-57.0,59804010,478432080,0.050,10329,51012,20.248,0
20231120104143,10.3.0.2,5001,10.1.0.2,54607,3,57.0-58.0,59824590,478596720,0.049,10332,51029,20.247,0
20231120104144,10.3.0.2,5001,10.1.0.2,54607,3,58.0-59.0,59808420,478467360,0.051,10327,51013,20.244,0
20231120104145,10.3.0.2,5001,10.1.0.2,54607,3,59.0-60.0,59808420,478467360,0.034,10331,51017,20.250,0
20231120104145,10.3.0.2,5001,10.1.0.2,54607,3,0.0-60.0,3590445600,478704434,0.039,618745,3061225,20.212,0
20231120104145,10.3.0.2,0,10.1.0.2,0,-1,0.0-60.0,3651697560,486870993,0.045,628021,3112169,20.180,0
