timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s
20231120104420,10.3.0.2,5001,10.1.0.2,41066,4,0.0-1.0,31964600,255716800
20231120104421,10.3.0.2,5001,10.1.0.2,41066,4,1.0-2.0,21376824,171014592
20231120104422,10.3.0.2,5001,10.1.0.2,41066,4,2.0-3.0,17124048,136992384
20231120104423,10.3.0.2,5001,10.1.0.2,41066,4,3.0-4.0,1885296,15082368
20231120104424,10.3.0.2,5001,10.1.0.2,41066,4,4.0-5.0,938304,7506432
20231120104425,10.3.0.2,5001,10.1.0.2,41066,4,5.0-6.0,939752,7518016
20231120104427,10.3.0.2,5001,10.1.0.2,41066,4,6.0-7.0,470600,3764800
20231120104428,10.3.0.2,5001,10.1.0.2,41066,4,7.0-8.0,469152,3753216
20231120104428,10.3.0.2,5001,10.1.0.2,41066,4,8.0-9.0,0,0
20231120104429,10.3.0.2,5001,10.1.0.2,41066,4,9.0-10.0,470600,3764800
20231120104434,10.3.0.2,5001,10.1.0.2,41066,4,10.0-11.0,78192,625536
20231120104434,10.3.0.2,5001,10.1.0.2,41066,4,11.0-12.0,0,0
20231120104434,10.3.0.2,5001,10.1.0.2,41066,4,12.0-13.0,0,0
20231120104434,10.3.0.2,5001,10.1.0.2,41066,4,13.0-14.0,0,0
20231120104434,10.3.0.2,5001,10.1.0.2,41066,4,14.0-15.0,0,0
20231120104437,10.3.0.2,5001,10.1.0.2,41066,4,15.0-16.0,868800,6950400
20231120104437,10.3.0.2,5001,10.1.0.2,41066,4,16.0-17.0,0,0
20231120104437,10.3.0.2,5001,10.1.0.2,41066,4,17.0-18.0,0,0
20231120104440,10.3.0.2,5001,10.1.0.2,41066,4,18.0-19.0,851424,6811392
20231120104440,10.3.0.2,5001,10.1.0.2,41066,4,19.0-20.0,0,0
20231120104442,10.3.0.2,5001,10.1.0.2,41066,4,20.0-21.0,854320,6834560
20231120104442,10.3.0.2,5001,10.1.0.2,41066,4,21.0-22.0,0,0
20231120104442,10.3.0.2,5001,10.1.0.2,41066,4,22.0-23.0,0,0
20231120104445,10.3.0.2,5001,10.1.0.2,41066,4,23.0-24.0,1012152,8097216
20231120104445,10.3.0.2,5001,10.1.0.2,41066,4,24.0-25.0,0,0
20231120104445,10.3.0.2,5001,10.1.0.2,41066,4,25.0-26.0,0,0
20231120104448,10.3.0.2,5001,10.1.0.2,41066,4,26.0-27.0,1039664,8317312
20231120104448,10.3.0.2,5001,10.1.0.2,41066,4,27.0-28.0,0,0
20231120104450,10.3.0.2,5001,10.1.0.2,41066,4,28.0-29.0,945544,7564352
20231120104450,10.3.0.2,5001,10.1.0.2,41066,4,29.0-30.0,0,0
20231120104450,10.3.0.2,5001,10.1.0.2,41066,4,30.0-31.0,0,0
20231120104453,10.3.0.2,5001,10.1.0.2,41066,4,31.0-32.0,2896,23168
20231120104453,10.3.0.2,5001,10.1.0.2,41066,4,32.0-33.0,0,0
20231120104501,10.3.0.2,5001,10.1.0.2,41066,4,33.0-34.0,171616,1372928
20231120104501,10.3.0.2,5001,10.1.0.2,41066,4,34.0-35.0,0,0
20231120104501,10.3.0.2,5001,10.1.0.2,41066,4,35.0-36.0,0,0
20231120104501,10.3.0.2,5001,10.1.0.2,41066,4,36.0-37.0,0,0
20231120104501,10.3.0.2,5001,10.1.0.2,41066,4,37.0-38.0,0,0
20231120104501,10.3.0.2,5001,10.1.0.2,41066,4,38.0-39.0,0,0
20231120104501,10.3.0.2,5001,10.1.0.2,41066,4,39.0-40.0,0,0
20231120104501,10.3.0.2,5001,10.1.0.2,41066,4,40.0-41.0,0,0
20231120104503,10.3.0.2,5001,10.1.0.2,41066,4,41.0-42.0,536456,4291648
20231120104503,10.3.0.2,5001,10.1.0.2,41066,4,42.0-43.0,0,0
20231120104503,10.3.0.2,5001,10.1.0.2,41066,4,43.0-44.0,0,0
20231120104506,10.3.0.2,5001,10.1.0.2,41066,4,44.0-45.0,517688,4141504
20231120104506,10.3.0.2,5001,10.1.0.2,41066,4,45.0-46.0,0,0
20231120104506,10.3.0.2,5001,10.1.0.2,41066,4,46.0-47.0,0,0
20231120104509,10.3.0.2,5001,10.1.0.2,41066,4,47.0-48.0,236720,1893760
20231120104509,10.3.0.2,5001,10.1.0.2,41066,4,48.0-49.0,0,0
20231120104511,10.3.0.2,5001,10.1.0.2,41066,4,49.0-50.0,360552,2884416
20231120104511,10.3.0.2,5001,10.1.0.2,41066,4,50.0-51.0,0,0
20231120104511,10.3.0.2,5001,10.1.0.2,41066,4,51.0-52.0,0,0
20231120104514,10.3.0.2,5001,10.1.0.2,41066,4,52.0-53.0,15928,127424
20231120104514,10.3.0.2,5001,10.1.0.2,41066,4,53.0-54.0,0,0
20231120104516,10.3.0.2,5001,10.1.0.2,41066,4,54.0-55.0,194032,1552256
20231120104516,10.3.0.2,5001,10.1.0.2,41066,4,55.0-56.0,0,0
20231120104516,10.3.0.2,5001,10.1.0.2,41066,4,56.0-57.0,0,0
20231120104521,10.3.0.2,5001,10.1.0.2,41066,4,57.0-58.0,369240,2953920
20231120104521,10.3.0.2,5001,10.1.0.2,41066,4,58.0-59.0,0,0
20231120104521,10.3.0.2,5001,10.1.0.2,41066,4,59.0-60.0,0,0
20231120104521,10.3.0.2,5001,10.1.0.2,41066,4,60.0-61.0,0,0
20231120104521,10.3.0.2,5001,10.1.0.2,41066,4,61.0-62.0,0,0
20231120104521,10.3.0.2,5001,10.1.0.2,41066,4,0.0-62.7,85065728,10850515
20231120104521,10.3.0.2,0,10.1.0.2,0,-1,0.0-62.7,117030328,14927743
