timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s, Jitter ms, lost datagrams,total datagrams, lost datagrams in %,0
20231117151106,10.1.0.2,45603,10.1.0.4,5001,1,0.0-1.0,80251710,642013680,0.015,10737,65330,16.435,2
20231117151107,10.1.0.2,45603,10.1.0.4,5001,1,1.0-2.0,66485160,531881280,0.017,22176,67404,32.900,8
20231117151108,10.1.0.2,45603,10.1.0.4,5001,1,2.0-3.0,65257710,522061680,0.010,22692,67085,33.826,4
20231117151109,10.1.0.2,45603,10.1.0.4,5001,1,3.0-4.0,66410190,531281520,0.044,21800,66977,32.548,5
20231117151110,10.1.0.2,45603,10.1.0.4,5001,1,4.0-5.0,72132900,577063200,0.007,17091,66161,25.832,13
20231117151111,10.1.0.2,45603,10.1.0.4,5001,1,5.0-6.0,77577780,620622240,0.007,14409,67183,21.447,8
20231117151112,10.1.0.2,45603,10.1.0.4,5001,1,6.0-7.0,78032010,624256080,0.007,13552,66635,20.338,3
20231117151113,10.1.0.2,45603,10.1.0.4,5001,1,7.0-8.0,75306630,602453040,0.008,13885,65114,21.324,11
20231117151114,10.1.0.2,45603,10.1.0.4,5001,1,8.0-9.0,76270950,610167600,0.010,16692,68577,24.341,8
20231117151115,10.1.0.2,45603,10.1.0.4,5001,1,9.0-10.0,76828080,614624640,0.007,15276,67540,22.618,10
20231117151116,10.1.0.2,45603,10.1.0.4,5001,1,10.0-11.0,77083860,616670880,0.005,14253,66691,21.372,4
20231117151117,10.1.0.2,45603,10.1.0.4,5001,1,11.0-12.0,75822600,606580800,0.013,14989,66569,22.516,2
20231117151118,10.1.0.2,45603,10.1.0.4,5001,1,12.0-13.0,75460980,603687840,0.037,15826,67160,23.565,7
20231117151119,10.1.0.2,45603,10.1.0.4,5001,1,13.0-14.0,75865230,606921840,0.008,15226,66835,22.781,5
20231117151120,10.1.0.2,45603,10.1.0.4,5001,1,14.0-15.0,75288990,602311920,0.011,15772,66989,23.544,11
20231117151121,10.1.0.2,45603,10.1.0.4,5001,1,15.0-16.0,76043100,608344800,0.008,15078,66808,22.569,3
20231117151122,10.1.0.2,45603,10.1.0.4,5001,1,16.0-17.0,77219100,617752800,0.005,14097,66627,21.158,3
20231117151123,10.1.0.2,45603,10.1.0.4,5001,1,17.0-18.0,82397910,659183280,0.033,11019,67072,16.429,1
20231117151124,10.1.0.2,45603,10.1.0.4,5001,1,18.0-19.0,80104710,640837680,0.007,12096,66589,18.165,3
20231117151125,10.1.0.2,45603,10.1.0.4,5001,1,19.0-20.0,78289260,626314080,0.012,13617,66875,20.362,5
20231117151126,10.1.0.2,45603,10.1.0.4,5001,1,20.0-21.0,77260260,618082080,0.008,14157,66715,21.220,5
20231117151127,10.1.0.2,45603,10.1.0.4,5001,1,21.0-22.0,77092680,616741440,0.020,14925,67369,22.154,6
20231117151128,10.1.0.2,45603,10.1.0.4,5001,1,22.0-23.0,78418620,627348960,0.227,13492,66838,20.186,1
20231117151129,10.1.0.2,45603,10.1.0.4,5001,1,23.0-24.0,83769420,670155360,0.012,9981,66967,14.904,1
20231117151130,10.1.0.2,45603,10.1.0.4,5001,1,24.0-25.0,82444950,659559600,0.013,10541,66626,15.821,1
20231117151131,10.1.0.2,45603,10.1.0.4,5001,1,25.0-26.0,81702600,653620800,0.006,11593,67173,17.258,1
20231117151132,10.1.0.2,45603,10.1.0.4,5001,1,26.0-27.0,81701130,653609040,0.006,11409,66988,17.031,0
20231117151133,10.1.0.2,45603,10.1.0.4,5001,1,27.0-28.0,79776900,638215200,0.018,12066,66336,18.189,1
20231117151134,10.1.0.2,45603,10.1.0.4,5001,1,28.0-29.0,80414880,643319040,0.016,12557,67261,18.669,1
