timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s
20231117150845,10.1.0.2,40412,10.1.0.4,5001,1,0.0-1.0,48740420,389923360
20231117150846,10.1.0.2,40412,10.1.0.4,5001,1,1.0-2.0,42288192,338305536
20231117150847,10.1.0.2,40412,10.1.0.4,5001,1,2.0-3.0,40173856,321390848
20231117150848,10.1.0.2,40412,10.1.0.4,5001,1,3.0-4.0,36192672,289541376
20231117150849,10.1.0.2,40412,10.1.0.4,5001,1,4.0-5.0,37389440,299115520
20231117150850,10.1.0.2,40412,10.1.0.4,5001,1,5.0-6.0,39373600,314988800
20231117150851,10.1.0.2,40412,10.1.0.4,5001,1,6.0-7.0,41098296,328786368
20231117150852,10.1.0.2,40412,10.1.0.4,5001,1,7.0-8.0,40416512,323332096
20231117150853,10.1.0.2,40412,10.1.0.4,5001,1,8.0-9.0,38512808,308102464
20231117150854,10.1.0.2,40412,10.1.0.4,5001,1,9.0-10.0,40536168,324289344
20231117150855,10.1.0.2,40412,10.1.0.4,5001,1,10.0-11.0,38827608,310620864
20231117150856,10.1.0.2,40412,10.1.0.4,5001,1,11.0-12.0,41416832,331334656
20231117150857,10.1.0.2,40412,10.1.0.4,5001,1,12.0-13.0,42070296,336562368
20231117150858,10.1.0.2,40412,10.1.0.4,5001,1,13.0-14.0,42649440,341195520
20231117150859,10.1.0.2,40412,10.1.0.4,5001,1,14.0-15.0,44518256,356146048
20231117150900,10.1.0.2,40412,10.1.0.4,5001,1,15.0-16.0,45308640,362469120
20231117150901,10.1.0.2,40412,10.1.0.4,5001,1,16.0-17.0,42119472,336955776
20231117150902,10.1.0.2,40412,10.1.0.4,5001,1,17.0-18.0,42854672,342837376
20231117150903,10.1.0.2,40412,10.1.0.4,5001,1,18.0-19.0,41694920,333559360
20231117150904,10.1.0.2,40412,10.1.0.4,5001,1,19.0-20.0,40580704,324645632
20231117150905,10.1.0.2,40412,10.1.0.4,5001,1,20.0-21.0,42141192,337129536
20231117150906,10.1.0.2,40412,10.1.0.4,5001,1,21.0-22.0,41140320,329122560
20231117150907,10.1.0.2,40412,10.1.0.4,5001,1,22.0-23.0,41566168,332529344
20231117150908,10.1.0.2,40412,10.1.0.4,5001,1,23.0-24.0,43547760,348382080
20231117150909,10.1.0.2,40412,10.1.0.4,5001,1,24.0-25.0,41858648,334869184
20231117150910,10.1.0.2,40412,10.1.0.4,5001,1,25.0-26.0,41092352,328738816
20231117150911,10.1.0.2,40412,10.1.0.4,5001,1,26.0-27.0,42294008,338352064
20231117150912,10.1.0.2,40412,10.1.0.4,5001,1,27.0-28.0,43617440,348939520
20231117150913,10.1.0.2,40412,10.1.0.4,5001,1,28.0-29.0,38608960,308871680
20231117150914,10.1.0.2,40412,10.1.0.4,5001,1,29.0-30.0,39017216,312137728
20231117150915,10.1.0.2,40412,10.1.0.4,5001,1,30.0-31.0,39705960,317647680
20231117150916,10.1.0.2,40412,10.1.0.4,5001,1,31.0-32.0,40327680,322621440
20231117150917,10.1.0.2,40412,10.1.0.4,5001,1,32.0-33.0,38203968,305631744
20231117150918,10.1.0.2,40412,10.1.0.4,5001,1,33.0-34.0,38340968,306727744
20231117150919,10.1.0.2,40412,10.1.0.4,5001,1,34.0-35.0,40667232,325337856
20231117150920,10.1.0.2,40412,10.1.0.4,5001,1,35.0-36.0,42429344,339434752
20231117150921,10.1.0.2,40412,10.1.0.4,5001,1,36.0-37.0,43335464,346683712
20231117150922,10.1.0.2,40412,10.1.0.4,5001,1,37.0-38.0,39514624,316116992
20231117150923,10.1.0.2,40412,10.1.0.4,5001,1,38.0-39.0,39318272,314546176
20231117150924,10.1.0.2,40412,10.1.0.4,5001,1,39.0-40.0,39942208,319537664
20231117150925,10.1.0.2,40412,10.1.0.4,5001,1,40.0-41.0,38909584,311276672
20231117150926,10.1.0.2,40412,10.1.0.4,5001,1,41.0-42.0,39187376,313499008
20231117150927,10.1.0.2,40412,10.1.0.4,5001,1,42.0-43.0,39815808,318526464
20231117150928,10.1.0.2,40412,10.1.0.4,5001,1,43.0-44.0,38787728,310301824
20231117150929,10.1.0.2,40412,10.1.0.4,5001,1,44.0-45.0,42555320,340442560
20231117150930,10.1.0.2,40412,10.1.0.4,5001,1,45.0-46.0,42470664,339765312
20231117150931,10.1.0.2,40412,10.1.0.4,5001,1,46.0-47.0,40736048,325888384
20231117150932,10.1.0.2,40412,10.1.0.4,5001,1,47.0-48.0,42668264,341346112
20231117150933,10.1.0.2,40412,10.1.0.4,5001,1,48.0-49.0,41472992,331783936
20231117150934,10.1.0.2,40412,10.1.0.4,5001,1,49.0-50.0,39142720,313141760
20231117150935,10.1.0.2,40412,10.1.0.4,5001,1,50.0-51.0,40704136,325633088
20231117150936,10.1.0.2,40412,10.1.0.4,5001,1,51.0-52.0,40469632,323757056
20231117150937,10.1.0.2,40412,10.1.0.4,5001,1,52.0-53.0,38551776,308414208
20231117150938,10.1.0.2,40412,10.1.0.4,5001,1,53.0-54.0,40357144,322857152
20231117150939,10.1.0.2,40412,10.1.0.4,5001,1,54.0-55.0,42042896,336343168
20231117150940,10.1.0.2,40412,10.1.0.4,5001,1,55.0-56.0,43158456,345267648
20231117150941,10.1.0.2,40412,10.1.0.4,5001,1,56.0-57.0,41551344,332410752
20231117150942,10.1.0.2,40412,10.1.0.4,5001,1,57.0-58.0,43578472,348627776
20231117150943,10.1.0.2,40412,10.1.0.4,5001,1,58.0-59.0,38636328,309090624
20231117150944,10.1.0.2,40412,10.1.0.4,5001,1,59.0-60.0,39329344,314634752
20231117150944,10.1.0.2,40412,10.1.0.4,5001,1,0.0-60.0,2458517564,327692608
