timestamp,Snd IP,Snd port,RCV IP,RCV port,ID,report time,sent data Bytes,throughput bits/s, Jitter ms, lost datagrams,total datagrams, lost datagrams in %,0
20231117151217,10.1.0.2,45463,10.1.0.3,5001,1,0.0-1.0,53674110,429392880,0.013,13889,50402,27.556,321
20231117151218,10.1.0.2,45463,10.1.0.3,5001,1,1.0-2.0,51211860,409694880,0.018,16184,51022,31.720,334
20231117151219,10.1.0.2,45463,10.1.0.3,5001,1,2.0-3.0,51385320,411082560,0.013,16062,51018,31.483,358
20231117151220,10.1.0.2,45463,10.1.0.3,5001,1,3.0-4.0,51533790,412270320,0.020,15960,51017,31.284,346
20231117151221,10.1.0.2,45463,10.1.0.3,5001,1,4.0-5.0,50553300,404426400,0.021,16629,51019,32.594,429
20231117151222,10.1.0.2,45463,10.1.0.3,5001,1,5.0-6.0,51392670,411141360,0.018,16046,51007,31.458,450
20231117151223,10.1.0.2,45463,10.1.0.3,5001,1,6.0-7.0,51398550,411188400,0.019,16066,51031,31.483,450
20231117151224,10.1.0.2,45463,10.1.0.3,5001,1,7.0-8.0,51658740,413269920,0.018,15876,51018,31.118,446
20231117151225,10.1.0.2,45463,10.1.0.3,5001,1,8.0-9.0,51114840,408918720,0.012,16250,51022,31.849,432
20231117151226,10.1.0.2,45463,10.1.0.3,5001,1,9.0-10.0,51477930,411823440,0.024,15997,51016,31.357,442
20231117151227,10.1.0.2,45463,10.1.0.3,5001,1,10.0-11.0,51423540,411388320,0.018,16044,51026,31.443,374
20231117151228,10.1.0.2,45463,10.1.0.3,5001,1,11.0-12.0,51344160,410753280,0.020,16096,51024,31.546,388
20231117151229,10.1.0.2,45463,10.1.0.3,5001,1,12.0-13.0,51624930,412999440,0.014,15905,51024,31.172,514
20231117151230,10.1.0.2,45463,10.1.0.3,5001,1,13.0-14.0,51009000,408072000,0.021,16318,51018,31.985,447
20231117151231,10.1.0.2,45463,10.1.0.3,5001,1,14.0-15.0,51580830,412646640,0.024,15926,51015,31.218,439
20231117151232,10.1.0.2,45463,10.1.0.3,5001,1,15.0-16.0,51323580,410588640,0.014,16104,51018,31.565,402
20231117151233,10.1.0.2,45463,10.1.0.3,5001,1,16.0-17.0,51583770,412670160,0.018,15939,51030,31.235,374
20231117151234,10.1.0.2,45463,10.1.0.3,5001,1,17.0-18.0,51441180,411529440,0.017,16016,51010,31.398,446
20231117151235,10.1.0.2,45463,10.1.0.3,5001,1,18.0-19.0,51458820,411670560,0.028,16018,51024,31.393,476
20231117151236,10.1.0.2,45463,10.1.0.3,5001,1,19.0-20.0,51614640,412917120,0.020,15916,51028,31.191,479
20231117151237,10.1.0.2,45463,10.1.0.3,5001,1,20.0-21.0,52136490,417091920,0.020,11165,46632,23.943,350
20231117151238,10.1.0.2,45463,10.1.0.3,5001,1,21.0-22.0,53475660,427805280,0.019,359,36737,0.977,506
20231117151239,10.1.0.2,45463,10.1.0.3,5001,1,22.0-23.0,53796120,430368960,0.022,401,36997,1.084,613
20231117151240,10.1.0.2,45463,10.1.0.3,5001,1,23.0-24.0,52190880,417527040,0.023,986,36490,2.702,682
20231117151241,10.1.0.2,45463,10.1.0.3,5001,1,24.0-25.0,53824050,430592400,0.018,8130,44745,18.170,728
