Time,Bitrate,Delay,Jitter,Loss
0.000000,5176.000000,0.000920,0.000396,0.000000
1.000000,5064.000000,0.000980,0.000421,0.000000
2.000000,5184.000000,0.000932,0.000337,0.000000
3.000000,5024.000000,0.000992,0.000448,0.000000
4.000000,4928.000000,0.001007,0.000475,0.000000
5.000000,5064.000000,0.001056,0.000500,0.000000
6.000000,4776.000000,0.001177,0.000655,0.000000
7.000000,5048.000000,0.000954,0.000387,0.000000
8.000000,4880.000000,0.001017,0.000482,0.000000
9.000000,5064.000000,0.001059,0.000529,0.000000
10.000000,4976.000000,0.001045,0.000551,0.000000
11.000000,5240.000000,0.000948,0.000379,0.000000
12.000000,4952.000000,0.001074,0.000559,0.000000
13.000000,5248.000000,0.000945,0.000374,1.000000
14.000000,5088.000000,0.000942,0.000404,0.000000
15.000000,5352.000000,0.000917,0.000331,0.000000
16.000000,5248.000000,0.000919,0.000339,0.000000
17.000000,5400.000000,0.000806,0.000190,0.000000
18.000000,5368.000000,0.000849,0.000254,0.000000
19.000000,5384.000000,0.000859,0.000287,0.000000
20.000000,5264.000000,0.000952,0.000338,0.000000
21.000000,5328.000000,0.000856,0.000292,0.000000
22.000000,5296.000000,0.000927,0.000299,0.000000
23.000000,5328.000000,0.000888,0.000317,0.000000
24.000000,5448.000000,0.000906,0.000316,0.000000
25.000000,5424.000000,0.000839,0.000248,0.000000
26.000000,5400.000000,0.000848,0.000267,0.000000
27.000000,5320.000000,0.000911,0.000324,0.000000
28.000000,5400.000000,0.000861,0.000295,0.000000
29.000000,5392.000000,0.000864,0.000317,0.000000
30.000000,5392.000000,0.000867,0.000298,0.000000
31.000000,5368.000000,0.000857,0.000284,0.000000
32.000000,5376.000000,0.000892,0.000314,0.000000
33.000000,5368.000000,0.000849,0.000264,0.000000
34.000000,5312.000000,0.000900,0.000306,0.000000
35.000000,5248.000000,0.000949,0.000359,0.000000
36.000000,5288.000000,0.000894,0.000347,0.000000
37.000000,5216.000000,0.000966,0.000361,0.000000
38.000000,5264.000000,0.000846,0.000320,0.000000
39.000000,5384.000000,0.000895,0.000305,0.000000
40.000000,5136.000000,0.001016,0.000448,0.000000
41.000000,5176.000000,0.000913,0.000366,0.000000
42.000000,5016.000000,0.001048,0.000496,0.000000
43.000000,5160.000000,0.000917,0.000388,0.000000
44.000000,5400.000000,0.000864,0.000290,0.000000
45.000000,5344.000000,0.000838,0.000276,0.000000
46.000000,5264.000000,0.000932,0.000379,0.000000
47.000000,5304.000000,0.000942,0.000325,0.000000
48.000000,5312.000000,0.000873,0.000310,0.000000
49.000000,5264.000000,0.000874,0.000312,0.000000
50.000000,5272.000000,0.000890,0.000308,0.000000
51.000000,5440.000000,0.000778,0.000178,0.000000
52.000000,5240.000000,0.000930,0.000344,0.000000
53.000000,5384.000000,0.000846,0.000287,0.000000
54.000000,5408.000000,0.000811,0.000214,0.000000
55.000000,5224.000000,0.000894,0.000328,0.000000
56.000000,5280.000000,0.000875,0.000323,0.000000
57.000000,5272.000000,0.000908,0.000334,0.000000
58.000000,5400.000000,0.000837,0.000260,0.000000
59.000000,5272.000000,0.000875,0.000290,0.000000
